series_id,year,period,value,footnote_codes
CES0000000026,1992,M08,92,
CES0000000026,1992,M09,81,
CES0000000026,1992,M10,115,
CES0000000026,1992,M11,116,
CES0000000026,1992,M12,179,
CES0000000026,1993,M01,218,
CES0000000026,1993,M02,257,
CES0000000026,1993,M03,166,
CES0000000026,1993,M04,167,
CES0000000026,1993,M05,175,
CES0000000026,1993,M06,252,
CES0000000026,1993,M07,253,
CES0000000026,1993,M08,213,
CES0000000026,1993,M09,233,
CES0000000026,1993,M10,226,
CES0000000026,1993,M11,259,
CES0000000026,1993,M12,289,
CES0000000026,1994,M01,287,
CES0000000026,1994,M02,266,
CES0000000026,1994,M03,309,
CES0000000026,1994,M04,330,
CES0000000026,1994,M05,380,
CES0000000026,1994,M06,332,
CES0000000026,1994,M07,341,
CES0000000026,1994,M08,325,
CES0000000026,1994,M09,336,
CES0000000026,1994,M10,283,
CES0000000026,1994,M11,324,
CES0000000026,1994,M12,306,
CES0000000026,1995,M01,348,
CES0000000026,1995,M02,276,
CES0000000026,1995,M03,247,
CES0000000026,1995,M04,189,
CES0000000026,1995,M05,117,
CES0000000026,1995,M06,126,
CES0000000026,1995,M07,104,
CES0000000026,1995,M08,195,
CES0000000026,1995,M09,196,
CES0000000026,1995,M10,217,
CES0000000026,1995,M11,180,
CES0000000026,1995,M12,148,
CES0000000026,1996,M01,95,
CES0000000026,1996,M02,188,
CES0000000026,1996,M03,224,
CES0000000026,1996,M04,281,
CES0000000026,1996,M05,249,
CES0000000026,1996,M06,259,
CES0000000026,1996,M07,286,
CES0000000026,1996,M08,238,
CES0000000026,1996,M09,214,
CES0000000026,1996,M10,217,
CES0000000026,1996,M11,254,
CES0000000026,1996,M12,244,
CES0000000026,1997,M01,233,
CES0000000026,1997,M02,238,
CES0000000026,1997,M03,282,
CES0000000026,1997,M04,308,
CES0000000026,1997,M05,290,
CES0000000026,1997,M06,275,
CES0000000026,1997,M07,275,
CES0000000026,1997,M08,182,
CES0000000026,1997,M09,257,
CES0000000026,1997,M10,273,
CES0000000026,1997,M11,381,
CES0000000026,1997,M12,321,
CES0000000026,1998,M01,294,
CES0000000026,1998,M02,260,
CES0000000026,1998,M03,205,
CES0000000026,1998,M04,210,
CES0000000026,1998,M05,276,
CES0000000026,1998,M06,304,
CES0000000026,1998,M07,254,
CES0000000026,1998,M08,233,
CES0000000026,1998,M09,225,
CES0000000026,1998,M10,250,
CES0000000026,1998,M11,229,
CES0000000026,1998,M12,281,
CES0000000026,1999,M01,249,
CES0000000026,1999,M02,296,
CES0000000026,1999,M03,210,
CES0000000026,1999,M04,298,
CES0000000026,1999,M05,229,
CES0000000026,1999,M06,287,
CES0000000026,1999,M07,272,
CES0000000026,1999,M08,254,
CES0000000026,1999,M09,228,
CES0000000026,1999,M10,254,
CES0000000026,1999,M11,299,
CES0000000026,1999,M12,333,
CES0000000026,2000,M01,276,
CES0000000026,2000,M02,219,
CES0000000026,2000,M03,275,
CES0000000026,2000,M04,294,
CES0000000026,2000,M05,327,
CES0000000026,2000,M06,155,
CES0000000026,2000,M07,116,
CES0000000026,2000,M08,42,
CES0000000026,2000,M09,97,
CES0000000026,2000,M10,38,
CES0000000026,2000,M11,109,
CES0000000026,2000,M12,119,
CES0000000026,2001,M01,116,
CES0000000026,2001,M02,78,
CES0000000026,2001,M03,13,
CES0000000026,2001,M04,-78,
CES0000000026,2001,M05,-126,
CES0000000026,2001,M06,-149,
CES0000000026,2001,M07,-95,
CES0000000026,2001,M08,-127,
CES0000000026,2001,M09,-176,
CES0000000026,2001,M10,-241,
CES0000000026,2001,M11,-295,
CES0000000026,2001,M12,-263,
CES0000000026,2002,M01,-201,
CES0000000026,2002,M02,-135,
CES0000000026,2002,M03,-88,
CES0000000026,2002,M04,-76,
CES0000000026,2002,M05,-34,
CES0000000026,2002,M06,-11,
CES0000000026,2002,M07,-11,
CES0000000026,2002,M08,-16,
CES0000000026,2002,M09,-61,
CES0000000026,2002,M10,13,
